iter	Passed	Remaining
939	2268	144
940	2270	142
941	2273	139
942	2275	137
943	2277	135
944	2279	132
945	2280	130
946	2282	127
947	2283	125
948	2285	122
949	2287	120
950	2289	117
951	2291	115
952	2293	113
953	2294	110
954	2296	108
955	2298	105
956	2299	103
957	2301	100
958	2304	98
959	2306	96
960	2308	93
961	2309	91
962	2311	88
963	2312	86
964	2313	83
965	2315	81
966	2318	79
967	2321	76
968	2323	74
969	2324	71
970	2326	69
971	2328	67
972	2329	64
973	2331	62
974	2334	59
975	2336	57
976	2338	55
977	2341	52
978	2343	50
979	2344	47
980	2346	45
981	2350	43
982	2352	40
983	2355	38
984	2356	35
985	2358	33
986	2360	31
987	2364	28
988	2367	26
989	2369	23
990	2371	21
991	2372	19
992	2374	16
993	2376	14
994	2378	11
995	2383	9
996	2385	7
997	2387	4
998	2388	2
999	2390	0
